QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo
128,0,,0,0,,,0,,0,,0,
256,0,,0,0,,,0,,0,,0,
128,0,,0,0,,,0,,0,,0,
256,0,,0,0,,,0,,0,,0,
128,0,362.0,0,0,,,0,,0,,0,
256,0,368.0,0,0,,,0,,0,,0,
128,0,311.0,0,0,,,0,,0,,0,
256,0,357.0,0,0,,,0,,0,,0,
128,0,278.3333333333333,0,0,,,0,,0,,0,
256,0,305.6666666666667,0,0,,,0,,0,,0,
128,0,276.3333333333333,0,0,,,0,,0,,0,
256,0,287.3333333333333,0,0,,,0,,0,,0,
