QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo
128,0,281.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
256,0,295.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
384,0,334.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
512,0,348.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
640,0,325.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
768,0,303.0,0,1,DIFF,SERVER,0,,0,,0,
896,0,345.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
1024,0,358.0,0,1,DIFF,SERVER,0,,0,,0,
1152,0,334.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
1280,0,386.0,0,1,DIFF,SERVER,0,,0,,0,
1408,0,388.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
1536,0,358.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
1664,0,335.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
1792,0,342.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
1920,0,382.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
2048,0,357.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
2176,0,332.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
2304,0,344.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
2432,0,380.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
2560,0,353.0,0,1,DIFF,SERVER,0,,0,,0,
2688,0,364.0,0,1,DIFF,SERVER,0,,0,,0,
2816,0,370.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
2944,0,378.0,0,1,DIFF,SERVER,0,,0,,0,
3072,0,351.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
3200,0,359.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
3328,0,405.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
3456,0,380.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
3584,0,355.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
3712,0,331.0,0,1,DIFF,SERVER,0,,0,,0,
3840,0,403.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
3968,0,375.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
4096,0,351.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
4224,0,328.0,0,1,DIFF,SERVER,0,,0,,0,
4352,0,370.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
4480,0,381.0,0,1,DIFF,SERVER,0,,0,,0,
4608,0,368.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
4736,0,325.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
4864,0,386.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
4992,0,383.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
5120,0,358.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
5248,0,388.0,0,1,DIFF,SERVER,0,,0,,0,
5376,0,399.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
5504,0,379.6666666666667,0,1,DIFF,SERVER,0,,0,,0,
5632,0,356.0,0,1,DIFF,SERVER,0,,0,,0,
5760,0,393.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
5888,0,400.0,0,1,DIFF,SERVER,0,,0,,0,
6016,0,374.3333333333333,0,1,DIFF,SERVER,0,,0,,0,
