QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo
128,0,294.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
256,0,320.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
384,0,291.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
512,0,326.0,1,1,DIFF,CLIENT,0,,0,,0,
640,0,326.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
768,0,301.0,1,1,DIFF,CLIENT,0,,0,,0,
896,0,375.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
1024,0,342.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
1152,0,316.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
1280,0,385.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
1408,0,350.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
1536,0,352.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
1664,0,389.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
1792,0,354.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
1920,0,324.0,1,1,DIFF,CLIENT,0,,0,,0,
2048,0,358.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
2176,0,355.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
2304,0,327.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
2432,0,358.0,1,1,DIFF,CLIENT,0,,0,,0,
2560,0,361.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
2688,0,328.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
2816,0,332.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
2944,0,369.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
3072,0,334.0,1,1,DIFF,CLIENT,0,,0,,0,
3200,0,332.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
3328,0,370.0,1,1,DIFF,CLIENT,0,,0,,0,
3456,0,342.0,1,1,DIFF,CLIENT,0,,0,,0,
3584,0,374.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
3712,0,377.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
3840,0,348.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
3968,0,381.0,1,1,DIFF,CLIENT,0,,0,,0,
4096,0,379.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
4224,0,346.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
4352,0,349.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
4480,0,385.0,1,1,DIFF,CLIENT,0,,0,,0,
4608,0,354.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
4736,0,345.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
4864,0,379.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
4992,0,345.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
5120,0,374.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
5248,0,372.3333333333333,1,1,DIFF,CLIENT,0,,0,,0,
5376,0,341.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
5504,0,375.6666666666667,1,1,DIFF,CLIENT,0,,0,,0,
