QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo
128,1,271.6666666666667,0,0,,,0,,0,,0,
256,1,308.3333333333333,0,0,,,0,,0,,0,
384,1,350.0,0,0,,,0,,0,,0,
512,1,323.0,0,0,,,0,,0,,0,
640,1,301.0,0,0,,,0,,0,,0,
768,1,375.6666666666667,0,0,,,0,,0,,0,
896,1,347.0,0,0,,,0,,0,,0,
1024,1,320.0,0,0,,,0,,0,,0,
1152,1,388.6666666666667,0,0,,,0,,0,,0,
1280,1,357.3333333333333,0,0,,,0,,0,,0,
1408,1,352.3333333333333,0,0,,,0,,0,,0,
1536,1,389.3333333333333,0,0,,,0,,0,,0,
1664,1,352.0,0,0,,,0,,0,,0,
1792,1,319.0,0,0,,,0,,0,,0,
1920,1,383.6666666666667,0,0,,,0,,0,,0,
2048,1,353.0,0,0,,,0,,0,,0,
2176,1,349.3333333333333,0,0,,,0,,0,,0,
2304,1,382.6666666666667,0,0,,,0,,0,,0,
2432,1,344.6666666666667,0,0,,,0,,0,,0,
2560,1,379.0,0,0,,,0,,0,,0,
2688,1,381.6666666666667,0,0,,,0,,0,,0,
2816,1,345.3333333333333,0,0,,,0,,0,,0,
2944,1,343.0,0,0,,,0,,0,,0,
3072,1,377.3333333333333,0,0,,,0,,0,,0,
3200,1,339.0,0,0,,,0,,0,,0,
3328,1,377.6666666666667,0,0,,,0,,0,,0,
3456,1,377.0,0,0,,,0,,0,,0,
3584,1,340.6666666666667,0,0,,,0,,0,,0,
3712,1,311.0,0,0,,,0,,0,,0,
3840,1,378.3333333333333,0,0,,,0,,0,,0,
3968,1,351.6666666666667,0,0,,,0,,0,,0,
4096,1,326.6666666666667,0,0,,,0,,0,,0,
4224,1,388.0,0,0,,,0,,0,,0,
4352,1,381.3333333333333,0,0,,,0,,0,,0,
4480,1,327.3333333333333,0,0,,,0,,0,,0,
4608,1,400.3333333333333,0,0,,,0,,0,,0,
4736,1,366.0,0,0,,,0,,0,,0,
4864,1,338.6666666666667,0,0,,,0,,0,,0,
4992,1,441.6666666666667,0,0,,,0,,0,,0,
5120,1,382.0,0,0,,,0,,0,,0,
5248,1,343.3333333333333,0,0,,,0,,0,,0,
5376,1,381.6666666666667,0,0,,,0,,0,,0,
5504,1,390.0,0,0,,,0,,0,,0,
5632,1,353.3333333333333,0,0,,,0,,0,,0,
5760,1,351.3333333333333,0,0,,,0,,0,,0,
5888,1,396.6666666666667,0,0,,,0,,0,,0,
6016,1,368.3333333333333,0,0,,,0,,0,,0,
6144,1,365.6666666666667,0,0,,,0,,0,,0,
6272,1,399.6666666666667,0,0,,,0,,0,,0,
6400,1,370.6666666666667,0,0,,,0,,0,,0,
6528,1,342.6666666666667,0,0,,,0,,0,,0,
6656,1,378.6666666666667,0,0,,,0,,0,,0,
6784,1,377.3333333333333,0,0,,,0,,0,,0,
6912,1,348.0,0,0,,,0,,0,,0,
7040,1,351.0,0,0,,,0,,0,,0,
7168,1,388.6666666666667,0,0,,,0,,0,,0,
7296,1,357.0,0,0,,,0,,0,,0,
7424,1,389.3333333333333,0,0,,,0,,0,,0,
7552,1,397.0,0,0,,,0,,0,,0,
7680,1,363.0,0,0,,,0,,0,,0,
7808,1,403.6666666666667,0,0,,,0,,0,,0,
7936,1,405.6666666666667,0,0,,,0,,0,,0,
8064,1,372.0,0,0,,,0,,0,,0,
8192,1,340.0,0,0,,,0,,0,,0,
8320,1,410.3333333333333,0,0,,,0,,0,,0,
8448,1,381.3333333333333,0,0,,,0,,0,,0,
8576,1,349.0,0,0,,,0,,0,,0,
8704,1,385.3333333333333,0,0,,,0,,0,,0,
8832,1,385.0,0,0,,,0,,0,,0,
8960,1,360.6666666666667,0,0,,,0,,0,,0,
9088,1,426.3333333333333,0,0,,,0,,0,,0,
9216,1,396.3333333333333,0,0,,,0,,0,,0,
9344,1,366.0,0,0,,,0,,0,,0,
9472,1,383.3333333333333,0,0,,,0,,0,,0,
9600,1,412.0,0,0,,,0,,0,,0,
9728,1,371.3333333333333,0,0,,,0,,0,,0,
9856,1,346.0,0,0,,,0,,0,,0,
9984,1,413.6666666666667,0,0,,,0,,0,,0,
10112,1,387.0,0,0,,,0,,0,,0,
10240,1,371.0,0,0,,,0,,0,,0,
