QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo,wifi_same_client,dist_5m,cem_client,wifi_same_server,bl_client,1_parede,dist_1m,bluetooth_client,Sem_Interferência,wifi_diff_server,microondas_client,wifi_diff_client,bl_server,dist_0m
128,0,297.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
256,0,339.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
384,0,310.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
512,0,312.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
640,0,347.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
768,0,317.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
896,0,349.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1024,0,355.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1152,0,329.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1280,0,385.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1408,0,358.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1536,0,317.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1664,0,398.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1792,0,330.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1920,0,346.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2048,0,380.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2176,0,334.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2304,0,369.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2432,0,364.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2560,0,328.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2688,0,359.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2816,0,370.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2944,0,322.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3072,0,368.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3200,0,353.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3328,0,376.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3456,0,374.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3584,0,352.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3712,0,359.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3840,0,383.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3968,0,363.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4096,0,322.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4224,0,388.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4352,0,362.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4480,0,337.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4608,0,403.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4736,0,368.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4864,0,356.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4992,0,402.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5120,0,376.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5248,0,356.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5376,0,428.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5504,0,380.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5632,0,359.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5760,0,375.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5888,0,374.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6016,0,357.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6144,0,358.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6272,0,393.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6400,0,359.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6528,0,395.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6656,0,391.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6784,0,363.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6912,0,399.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7040,0,418.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7168,0,382.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7296,0,371.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7424,0,458.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7552,0,414.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7680,0,351.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7808,0,413.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7936,0,384.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8064,0,350.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8192,0,418.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8320,0,398.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8448,0,365.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8576,0,430.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8704,0,396.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8832,0,371.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8960,0,400.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9088,0,413.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9216,0,364.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9344,0,394.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9472,0,406.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9600,0,365.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9728,0,372.0,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9856,0,408.6666666666667,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9984,0,372.3333333333333,1,1,SAME,CLIENT,0,,0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
