QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo,wifi_same_client,dist_5m,cem_client,wifi_same_server,bl_client,1_parede,dist_1m,bluetooth_client,Sem_Interferência,wifi_diff_server,microondas_client,wifi_diff_client,bl_server,dist_0m
128,0,272.0,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256,0,282.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
384,0,360.0,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
512,0,337.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
640,0,315.0,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
768,0,292.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
896,0,368.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1024,0,348.0,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1152,0,323.0,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1280,0,399.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1408,0,369.0,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1536,0,344.0,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1664,0,318.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1792,0,395.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1920,0,367.0,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2048,0,339.0,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2176,0,316.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2304,0,356.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2432,0,364.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2560,0,339.0,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2688,0,315.0,0,1,SAME,SERVER,1,CLIENT,0,,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
