QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo,wifi_same_client,dist_5m,cem_client,wifi_same_server,bl_client,1_parede,dist_1m,bluetooth_client,Sem_Interferência,wifi_diff_server,microondas_client,wifi_diff_client,bl_server,dist_0m
128,0,302.6666666666667,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256,0,327.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
384,0,328.6666666666667,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
512,0,305.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
640,0,360.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
768,0,316.6666666666667,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
896,0,373.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1024,0,347.3333333333333,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1152,0,361.6666666666667,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1280,0,378.6666666666667,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1408,0,362.3333333333333,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1536,0,348.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1664,0,373.3333333333333,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1792,0,368.6666666666667,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1920,0,324.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2048,0,343.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2176,0,341.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
