QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo,wifi_same_client,dist_5m,cem_client,wifi_same_server,bl_client,1_parede,dist_1m,bluetooth_client,Sem_Interferência,wifi_diff_server,microondas_client,wifi_diff_client,bl_server,dist_0m
128,1,279.6666666666667,0,1,DIFF,SERVER,1,SERVER,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
256,1,323.3333333333333,0,1,DIFF,SERVER,1,SERVER,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
384,1,299.0,0,1,DIFF,SERVER,1,SERVER,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
512,1,336.3333333333333,0,1,DIFF,SERVER,1,SERVER,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
640,1,350.3333333333333,0,1,DIFF,SERVER,1,SERVER,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
768,1,327.6666666666667,0,1,DIFF,SERVER,1,SERVER,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
896,1,334.0,0,1,DIFF,SERVER,1,SERVER,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1024,1,381.6666666666667,0,1,DIFF,SERVER,1,SERVER,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1152,1,354.3333333333333,0,1,DIFF,SERVER,1,SERVER,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1280,1,335.0,0,1,DIFF,SERVER,1,SERVER,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1408,1,329.3333333333333,0,1,DIFF,SERVER,1,SERVER,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1536,1,370.3333333333333,0,1,DIFF,SERVER,1,SERVER,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1664,1,343.3333333333333,0,1,DIFF,SERVER,1,SERVER,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
