QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo
128,0,305.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
256,0,339.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
384,0,323.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
512,0,297.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
640,0,377.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
768,0,360.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
896,0,351.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
1024,0,335.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
1152,0,354.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
1280,0,373.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
1408,0,339.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
1536,0,308.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
1664,0,387.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
1792,0,358.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
1920,0,342.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
2048,0,342.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
2176,0,389.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
2304,0,361.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
2432,0,335.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
2560,0,340.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
2688,0,391.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
2816,0,359.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
2944,0,334.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
3072,0,342.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
3200,0,385.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
3328,0,364.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
3456,0,339.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
3584,0,343.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
3712,0,389.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
3840,0,361.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
3968,0,338.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
4096,0,407.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
4224,0,384.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
4352,0,360.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
4480,0,337.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
4608,0,412.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
4736,0,386.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
4864,0,365.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
4992,0,335.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
5120,0,377.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
5248,0,385.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
5376,0,364.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
5504,0,334.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
5632,0,377.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
5760,0,387.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
5888,0,360.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
6016,0,332.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
6144,0,410.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
6272,0,378.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
6400,0,354.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
6528,0,402.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
6656,0,406.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
6784,0,386.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
6912,0,356.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
7040,0,360.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
7168,0,414.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
7296,0,381.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
7424,0,356.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
7552,0,327.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
7680,0,405.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
7808,0,380.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
7936,0,349.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
8064,0,428.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
8192,0,402.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
8320,0,378.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
8448,0,356.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
8576,0,430.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
8704,0,402.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
8832,0,376.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
8960,0,354.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
9088,0,425.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
9216,0,412.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
9344,0,375.6666666666667,0,1,DIFF,SERVER,1,CLIENT,0,,0,
9472,0,349.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
9600,0,392.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
9728,0,400.0,0,1,DIFF,SERVER,1,CLIENT,0,,0,
9856,0,371.3333333333333,0,1,DIFF,SERVER,1,CLIENT,0,,0,
