QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo
128,1,275.6666666666667,0,1,SAME,SERVER,0,,0,,0,
256,1,288.6666666666667,0,1,SAME,SERVER,0,,0,,0,
384,1,363.0,0,1,SAME,SERVER,0,,0,,0,
512,1,342.0,0,1,SAME,SERVER,0,,0,,0,
640,1,322.3333333333333,0,1,SAME,SERVER,0,,0,,0,
768,1,292.3333333333333,0,1,SAME,SERVER,0,,0,,0,
896,1,380.0,0,1,SAME,SERVER,0,,0,,0,
1024,1,358.3333333333333,0,1,SAME,SERVER,0,,0,,0,
1152,1,333.6666666666667,0,1,SAME,SERVER,0,,0,,0,
1280,1,307.3333333333333,0,1,SAME,SERVER,0,,0,,0,
1408,1,381.6666666666667,0,1,SAME,SERVER,0,,0,,0,
1536,1,353.0,0,1,SAME,SERVER,0,,0,,0,
1664,1,330.3333333333333,0,1,SAME,SERVER,0,,0,,0,
1792,1,373.6666666666667,0,1,SAME,SERVER,0,,0,,0,
1920,1,380.3333333333333,0,1,SAME,SERVER,0,,0,,0,
2048,1,355.0,0,1,SAME,SERVER,0,,0,,0,
2176,1,331.6666666666667,0,1,SAME,SERVER,0,,0,,0,
2304,1,371.0,0,1,SAME,SERVER,0,,0,,0,
2432,1,381.3333333333333,0,1,SAME,SERVER,0,,0,,0,
2560,1,351.3333333333333,0,1,SAME,SERVER,0,,0,,0,
2688,1,327.0,0,1,SAME,SERVER,0,,0,,0,
2816,1,333.0,0,1,SAME,SERVER,0,,0,,0,
2944,1,376.3333333333333,0,1,SAME,SERVER,0,,0,,0,
3072,1,350.3333333333333,0,1,SAME,SERVER,0,,0,,0,
3200,1,323.3333333333333,0,1,SAME,SERVER,0,,0,,0,
3328,1,335.3333333333333,0,1,SAME,SERVER,0,,0,,0,
3456,1,376.3333333333333,0,1,SAME,SERVER,0,,0,,0,
3584,1,349.6666666666667,0,1,SAME,SERVER,0,,0,,0,
3712,1,354.0,0,1,SAME,SERVER,0,,0,,0,
3840,1,400.0,0,1,SAME,SERVER,0,,0,,0,
3968,1,374.3333333333333,0,1,SAME,SERVER,0,,0,,0,
