group1,group2,meandiff,p-adj,lower,upper,reject
0m-Sem_Interferência,0m-wifi_diff_client+1_parede,4.8167,0.9998,-12.0996,21.7329,False
0m-Sem_Interferência,0m-wifi_diff_client+cem_client,-11.8417,0.9997,-51.5138,27.8304,False
0m-Sem_Interferência,0m-wifi_diff_client+microondas_client,-12.8833,0.9993,-52.5554,26.7888,False
0m-Sem_Interferência,0m-wifi_diff_server,7.2,0.9863,-9.7162,24.1162,False
0m-Sem_Interferência,0m-wifi_diff_server+bl_client,2.4375,1.0,-14.4787,19.3537,False
0m-Sem_Interferência,0m-wifi_same_client+1_parede,-5.0,0.9998,-21.9162,11.9162,False
0m-Sem_Interferência,0m-wifi_same_client+cem_client,-15.425,0.9945,-55.0971,24.2471,False
0m-Sem_Interferência,0m-wifi_same_client+microondas_client,-12.05,0.9997,-51.7221,27.6221,False
0m-Sem_Interferência,0m-wifi_same_server,-0.0875,1.0,-17.0037,16.8287,False
0m-Sem_Interferência,0m-wifi_same_server+bl_client,-2.4167,1.0,-19.3329,14.4996,False
0m-Sem_Interferência,0m_Bluetooth,8.9167,0.9124,-7.9996,25.8329,False
0m-Sem_Interferência,1m-Sem_Interferência,0.1375,1.0,-16.7787,17.0537,False
0m-Sem_Interferência,1m-wifi_diff_server+bl_server,9.8333,0.8268,-7.0829,26.7496,False
0m-Sem_Interferência,1m-wifi_same_server,-3.9333,1.0,-20.8496,12.9829,False
0m-Sem_Interferência,5m-Sem_Interferência,10.1542,0.7889,-6.7621,27.0704,False
0m-wifi_diff_client+1_parede,0m-wifi_diff_client+cem_client,-16.6583,0.988,-56.3304,23.0138,False
0m-wifi_diff_client+1_parede,0m-wifi_diff_client+microondas_client,-17.7,0.9786,-57.3721,21.9721,False
0m-wifi_diff_client+1_parede,0m-wifi_diff_server,2.3833,1.0,-14.5329,19.2996,False
0m-wifi_diff_client+1_parede,0m-wifi_diff_server+bl_client,-2.3792,1.0,-19.2954,14.5371,False
0m-wifi_diff_client+1_parede,0m-wifi_same_client+1_parede,-9.8167,0.8287,-26.7329,7.0996,False
0m-wifi_diff_client+1_parede,0m-wifi_same_client+cem_client,-20.2417,0.9319,-59.9138,19.4304,False
0m-wifi_diff_client+1_parede,0m-wifi_same_client+microondas_client,-16.8667,0.9865,-56.5388,22.8054,False
0m-wifi_diff_client+1_parede,0m-wifi_same_server,-4.9042,0.9998,-21.8204,12.0121,False
